episode,score,total_reward,epsilon,steps,avg_loss,merge_rate,max_level_merges
164,2465,734,0.6542424242424243,187,3.124808872447294,81.28342245989305,0
165,3103,894,0.6521212121212121,236,3.2556000442828164,84.32203389830508,0
166,3385,1008,0.65,245,3.29245427871237,86.93877551020408,0
167,1382,409,0.6478787878787879,144,3.25152630938424,72.22222222222221,0
168,3677,1026,0.6457575757575758,279,3.1677864777144564,87.81362007168458,0
169,5090,1372,0.6436363636363637,351,3.3086355309880355,92.87749287749287,1
170,3177,826,0.6415151515151516,214,3.527304126837543,88.78504672897196,0
171,2603,701,0.6393939393939394,195,3.3942624318294037,83.58974358974359,0
172,4502,1322,0.6372727272727272,319,3.353005093840596,90.28213166144201,1
173,1928,538,0.6351515151515152,170,3.5694438548649057,81.17647058823529,0
174,4336,1164,0.633030303030303,294,3.5641442488650887,91.49659863945578,0
175,3071,860,0.630909090909091,239,3.4362770658157857,86.61087866108787,0
176,2161,543,0.6287878787878789,164,3.50115262517115,84.14634146341463,0
177,2537,724,0.6266666666666667,199,3.35673979898194,86.93467336683418,0
178,3671,1067,0.6245454545454546,267,3.3468775762600846,90.2621722846442,0
179,4073,1179,0.6224242424242425,301,3.2904632776678597,89.70099667774086,1
180,2921,785,0.6203030303030304,220,3.3461649482900446,85.9090909090909,0
181,3578,979,0.6181818181818182,251,3.2758184384064846,88.84462151394422,0
182,3217,774,0.6160606060606062,230,3.317066025733948,88.69565217391305,0
183,2508,759,0.613939393939394,198,3.44330193418445,82.32323232323232,0
184,5321,1471,0.6118181818181818,361,3.4121076007298816,90.02770083102493,1
185,2754,793,0.6096969696969697,212,3.2639309977585413,85.37735849056604,0
186,4800,1153,0.6075757575757577,323,3.2335571342208436,90.71207430340557,0
187,5078,1386,0.6054545454545455,349,3.457733867844743,91.69054441260745,1
188,2580,683,0.6033333333333334,190,3.325209913755718,84.73684210526315,0
189,5004,1303,0.6012121212121213,344,3.2227360689362814,90.69767441860465,1
190,2438,696,0.5990909090909091,179,3.1874015890686205,85.47486033519553,0
191,2413,658,0.596969696969697,182,3.5874279855371833,81.86813186813187,0
192,3323,924,0.594848484848485,242,3.462574723338293,88.42975206611571,0
193,2278,623,0.5927272727272728,174,3.303436606094755,82.75862068965517,0
194,3871,1082,0.5906060606060606,280,3.3246888343776977,90.0,0
195,2504,742,0.5884848484848485,206,3.121345289702554,85.92233009708737,0
196,3929,1080,0.5863636363636364,299,3.276619097062178,87.29096989966555,0
197,3046,780,0.5842424242424242,222,3.1401882134042345,89.1891891891892,0
198,4083,1194,0.5821212121212122,286,3.2530740174380215,87.76223776223776,1
